time,BTC_high,BTC_low,BTC_open,BTC_volumefrom,BTC_volumeto,BTC_close,BTC_conversionType,BTC_conversionSymbol,ETH_high,ETH_low,ETH_open,ETH_volumefrom,ETH_volumeto,ETH_close,ETH_conversionType,ETH_conversionSymbol,BCH_high,BCH_low,BCH_open,BCH_volumefrom,BCH_volumeto,BCH_close,BCH_conversionType,BCH_conversionSymbol,LTC_high,LTC_low,LTC_open,LTC_volumefrom,LTC_volumeto,LTC_close,LTC_conversionType,LTC_conversionSymbol
2018-04-28,9435.9,8892.52,8938.47,83347.1,774111704.68,9351.47,direct,,693.47,640.09,643.12,351860.75,238423753.67,683.02,direct,,1412.07,1393.37,1333.62,142387.72,198531792.75,1394.3,multiply,BTC,153.19,145.07,145.87,339508.75,51094847.77,151.96,direct,
2018-04-29,9552.67,9189.07,9349.94,68227.03,640931911.37,9407.04,direct,,698.95,665.28,683.02,317205.24,216606354.66,689.31,direct,,1461.85,1401.65,1394.08,177789.51,255888373.92,1439.28,multiply,BTC,156.4,148.16,151.96,356947.0,54397059.36,153.43,direct,
2018-04-30,9459.81,9133.6,9407.35,61631.36,574099218.21,9248.45,direct,,693.63,663.28,689.31,364715.76,248315675.69,670.04,direct,,1415.94,1342.87,1439.32,157871.42,212877613.22,1348.42,multiply,BTC,151.58,147.98,153.43,622592.57,92358580.71,148.35,multiply,BTC
2018-05-01,9251.66,8851.1,9248.25,74147.8,669555436.99,9077.28,direct,,674.62,628.29,670.04,544527.28,355270695.23,670.81,direct,,1355.24,1266.28,1348.39,157108.25,212776443.87,1354.33,multiply,BTC,148.72,142.97,148.27,420520.26,61164623.13,147.99,direct,
2018-05-02,9271.62,8993.82,9077.28,57618.44,527488395.49,9232.19,direct,,690.86,662.13,670.81,376872.81,255558720.87,686.74,direct,,1500.23,1361.75,1354.33,206154.93,300524988.2,1457.76,multiply,BTC,153.44,148.55,148.05,716512.91,108618026.16,151.59,multiply,BTC
2018-05-03,9817.19,9172.28,9232.19,90631.98,857646889.15,9745.04,direct,,787.57,685.92,686.74,798057.17,588164727.16,777.62,direct,,1619.63,1488.07,1457.76,226797.55,342794450.6,1511.46,multiply,BTC,164.02,150.7,151.21,698541.83,110154634.4,161.22,direct,
2018-05-04,9785.15,9547.21,9746.26,68689.75,663887678.35,9699.61,direct,,804.63,759.67,777.78,546215.76,427563922.79,784.21,direct,,1531.57,1475.31,1511.64,180510.95,273663453.0,1516.05,multiply,BTC,171.39,157.58,161.22,617595.87,101035488.43,168.73,direct,
2018-05-05,9968.85,9687.09,9700.37,68875.75,679872376.4,9845.9,direct,,827.44,780.08,784.19,389912.01,315600160.75,816.58,direct,,1753.55,1530.05,1516.17,258128.89,452643151.5,1753.55,multiply,BTC,181.66,170.33,168.98,1429808.04,255088775.3,178.41,multiply,BTC
2018-05-06,9936.96,9441.93,9846.44,62904.49,608650204.19,9644.92,direct,,834.3,753.51,816.59,474447.3,374541870.07,790.39,direct,,1843.66,1635.48,1758.59,141139.03,245512548.39,1756.57,direct,,183.07,165.23,178.16,607442.03,104848948.01,171.66,direct,
2018-05-07,9662.23,9202.13,9643.99,73842.44,692580062.51,9377.81,direct,,794.86,690.91,790.39,1131598.73,828032480.2,752.4,direct,,1779.2,1562.58,1756.57,109780.2,179642018.72,1651.39,direct,,172.07,157.51,171.84,596014.38,97537791.4,164.23,direct,
